Question,Answer
"¿Puedo personalizar mis cotizaciones?","Sí. Puedes agregar tu logo, datos de empresa, emisores distintos, condiciones comerciales, plazos de entrega y descuentos. El PDF se genera con tu marca."
"¿Soporta múltiples monedas?","Sí. Soporta CLP (pesos chilenos) y USD (dólares). El formato de números se adapta automáticamente a cada moneda."
"¿Puedo usar SSM en varios idiomas?","Sí. La interfaz está disponible en español, inglés, portugués y francés."
"¿Qué es el sistema de versionado?","Cuando editas una cotización ya emitida, puedes crear una versión derivada (ej: COT-001.b, .c, .d) manteniendo el historial completo de cambios."
"¿Puedo compartir cotizaciones por WhatsApp?","Sí, desde la app móvil puedes exportar el PDF y compartirlo directamente por WhatsApp u otra aplicación."
"¿Cómo funcionan los analytics?","SSM incluye gráficos de conversión, montos cotizados, cotizaciones por mes, ranking de empresas y análisis de cotizaciones perdidas. Puedes filtrar por año y mes."
"¿Puedo gestionar múltiples vendedores?","Sí. Puedes crear usuarios con roles de admin o miembro. Cada vendedor tiene su clave de acceso y puedes ver las cotizaciones de todo el equipo."
"¿Cómo funciona el seguimiento comercial?","Cada cotización tiene un estado de seguimiento: Pendiente, En negociación, Cerrada o Perdida. Puedes agregar motivos de pérdida para análisis posterior."
"¿Puedo duplicar cotizaciones?","Sí. Puedes duplicar cualquier cotización para crear una nueva basada en una existente, ahorrando tiempo."
"¿Cómo contacto soporte?","A través del chat en stdsalesmanager.com, por email a oscar@standard.cl, o por WhatsApp."
"¿Mis datos se sincronizan entre el PC y el celular?","Sí, automáticamente. Los cambios que hagas en el escritorio aparecen en la app móvil y viceversa."
"¿Qué hago si olvidé mi clave de administrador?","Contacta a soporte. La clave de administrador se puede restablecer desde la configuración del software."
"¿SSM funciona sin internet?","Sí. Puedes crear y editar cotizaciones offline. Los cambios se sincronizan automáticamente cuando recuperes conexión."
"¿Cómo instalo la app móvil?","Descarga el APK desde el enlace que te proporcionamos al activar tu licencia e instálalo en tu dispositivo Android."
"¿Puedo exportar mis datos?","Sí. Puedes exportar cotizaciones a PDF y generar informes de ventas en PDF con datos detallados por período o empresa."
"What is Standard Sales Manager?","Standard Sales Manager (SSM) is a professional quotation software designed for B2B SMEs. It allows you to create PDF quotes in under 1 minute, manage contacts, track sales, and analyze performance. Available as a desktop app (Windows) and mobile app (Android)."
"Who is SSM for?","SSM is designed for B2B SMEs that need to create professional quotes, track sales, and manage their sales team. Ideal for manufacturing, industrial services, technology, consulting, and any business that sends quotations."
"What platforms does it work on?","SSM works as a desktop application on Windows and as a mobile app on Android. Data syncs automatically between both platforms via the cloud."
"Is my data secure?","Yes. Data is stored locally on your computer and synced with encrypted cloud storage. Only authorized users in your company can access the information."
"How do I start the free trial?","Download the installer from stdsalesmanager.com, install it, and select Activate Demo. You will get 20 days of full access with no credit card required."
"What does the free trial include?","All features without restrictions: create quotes, export PDF, manage contacts, analytics, multi-language support, and mobile app sync."
"What happens when the trial ends?","The software locks but your data remains intact. When you purchase a license, everything is restored exactly as you left it."
"How much does SSM cost?","Starting at $5 USD/month for individual users. Team and enterprise plans are available with per-user pricing. Visit stdsalesmanager.com for current plans."
"Can I cancel anytime?","Yes, there are no long-term contracts. You can cancel anytime and your data remains accessible locally."
"Can I customize my quotes?","Yes. You can add your logo, company details, different issuers, commercial conditions, delivery terms, and discounts. The PDF is generated with your branding."
"Does it support multiple currencies?","Yes. SSM supports CLP (Chilean pesos) and USD (US dollars). Number formatting adapts automatically to each currency."
"Can I share quotes via WhatsApp?","Yes, from the mobile app you can export the PDF and share it directly via WhatsApp or any other app."
"How do I contact support?","Through the chat at stdsalesmanager.com, by email at oscar@standard.cl, or via WhatsApp."
"Does SSM work offline?","Yes. You can create and edit quotes offline. Changes sync automatically when you reconnect."
"O que é o Standard Sales Manager?","O Standard Sales Manager (SSM) é um software profissional de cotações projetado para PMEs B2B. Permite criar cotações em PDF em menos de 1 minuto, gerenciar contatos, acompanhar vendas e analisar o desempenho. Disponível como aplicativo desktop (Windows) e app móvel (Android)."
"Para quem é o SSM?","O SSM é projetado para PMEs B2B que precisam criar cotações profissionais, acompanhar vendas e gerenciar sua equipe comercial. Ideal para manufatura, serviços industriais, tecnologia, consultoria e qualquer negócio que envie cotações."
"Como ativo o teste gratuito?","Baixe o instalador em stdsalesmanager.com, instale e selecione Ativar Demo. Você terá 20 dias de acesso completo sem necessidade de cartão de crédito."
"Quanto custa o SSM?","A partir de $5 USD/mês para usuário individual. Planos para equipes e empresas disponíveis. Consulte stdsalesmanager.com para preços atualizados."
"O SSM funciona offline?","Sim. Você pode criar e editar cotações offline. As alterações são sincronizadas automaticamente quando a conexão for restabelecida."
"Qu'est-ce que Standard Sales Manager?","Standard Sales Manager (SSM) est un logiciel professionnel de devis conçu pour les PME B2B. Il permet de créer des devis PDF en moins d'une minute, gérer les contacts, suivre les ventes et analyser les performances. Disponible en application desktop (Windows) et mobile (Android)."
"À qui s'adresse SSM?","SSM est conçu pour les PME B2B qui ont besoin de créer des devis professionnels, suivre leurs ventes et gérer leur équipe commerciale. Idéal pour la fabrication, les services industriels, la technologie et le conseil."
"Comment activer l'essai gratuit?","Téléchargez l'installateur depuis stdsalesmanager.com, installez-le et sélectionnez Activer Demo. Vous aurez 20 jours d'accès complet sans carte de crédit."
"Combien coûte SSM?","À partir de 5 USD/mois pour un utilisateur individuel. Des plans pour équipes et entreprises sont disponibles. Consultez stdsalesmanager.com pour les tarifs actuels."
"SSM fonctionne-t-il hors ligne?","Oui. Vous pouvez créer et modifier des devis hors ligne. Les modifications se synchronisent automatiquement lorsque vous retrouvez la connexion."
